max_temp,min_temp,precipitation,cloud_cover,snow_depth,pressure,sunshine,global_radiation,date
7,2.1,0.4,7,0,101960,5,51,20201202
7.4,3.1,15,6,0,99340,0,20,20201203
5.7,3.2,0,7,0,97660,0,8,20201204
8.1,3.1,0,2,0,98950,0.8,26,20201205
5.2,2,0.2,7,0,100130,2.4,37,20201206
2.2,-0.3,3,8,0,99940,1,24,20201207
4.5,0,2.2,7,0,100280,0.2,18,20201208
6.6,2.4,0,7,0,100630,1.3,33,20201209
7.5,4.5,9,7,0,100000,0,25,20201210
11.2,6.9,0,6,0,98740,0,16,20201211
9.9,7,0,1,0,99720,0.1,28,20201212
11.1,0.5,6,8,0,100340,0,27,20201213
12.6,9.6,1.4,6,0,99870,0.5,16,20201214
11.6,5.6,1,2,0,100480,2.4,32,20201215
10.6,6.6,3.2,7,0,100710,3.1,36,20201216
11.6,6.2,0,3,0,101320,1.1,25,20201217
11.6,9,1.8,8,0,101130,4.4,38,20201218
12.5,9.9,9,3,0,100450,0.5,15,20201219
10.6,6.7,0.6,1,0,101170,3.3,37,20201220
13.9,5.1,3,8,0,100770,3.9,37,20201221
11.7,11.7,0.6,8,0,100970,0,16,20201222
14,10.1,1.8,7,0,100550,0,23,20201223
6.1,6.1,0,2,0,101830,1.3,32,20201224
4.6,0.7,0,6,0,103100,3.5,40,20201225
10,-0.1,12,7,0,101960,2.1,38,20201226
7.5,7.6,2,1,0,98000,0.9,32,20201227
3.6,-1.3,0.2,7,0,97370,3.7,38,20201228
4.1,1.1,0,7,0,98830,0,21,20201229
5.6,-0.1,0,6,0,100200,0.4,22,20201230
1.5,-3.1,0,7,0,100500,1.3,34,20201231
